campaign_id,difference
aa7df4ce-fdf1-11eb-8dd7-0e087721c0e9,0.00002515
32cde48a-fdfa-11eb-8dd7-0e087721c0e9,0.000022975000000000003
b2ed8f6c-fdfa-11eb-8dd7-0e087721c0e9,0.000022275000000000006
da68536a-fdf0-11eb-8dd7-0e087721c0e9,0.000014899999999999996
f5e77024-fdf2-11eb-8dd7-0e087721c0e9,0.000009875000000000001
8721f04c-fdf2-11eb-8dd7-0e087721c0e9,0.000008674999999999999
b72689ca-fdf1-11eb-8dd7-0e087721c0e9,0.000005125000000000001
d170cd78-fdfa-11eb-8dd7-0e087721c0e9,0.0000037500000000000014
8f412a7c-fdf7-11eb-8dd7-0e087721c0e9,0.000002475000000000001
00325c84-fdfc-11eb-8dd7-0e087721c0e9,0.0000021499999999999997
